library_name	gene_name1	gene_chromosome1	genomic_strand1	genomic_break_pos1	gene_name2	gene_chromosome2	genomic_strand2	genomic_break_pos2	splitr_count	span_count	validated	fish_validated	leave_one_out_probability
HGS4	UMOD	chr16	+	20260159	LMF1	chr16	-	944358	7	15	Y	NA	0.999573511
SRR018269	NUP214	chr9	+	133064223	XKR3	chr22	+	15668973	15	67	Y	NA	0.999363762
YKS2	MYBPC1	chr12	-	100603491	C12orf48	chr12	+	101041949	6	8	Y	NA	0.999273735
CCC4	PKD1L1	chr7	+	47802273	TNS3	chr7	-	47588550	4	12	Y	NA	0.999153134
CCC15	LAMC3	chr9	-	132901374	AFF4	chr5	-	132326850	3	5	Y	NA	0.999051237
SRR018261	GCN1L1	chr12	-	119066493	PLA2G1B	chr12	+	119248206	1	4	Y	NA	0.998991639
HGS3	CYLN2	chr7	-	73412441	ELL	chr19	-	18433388	8	15	Y	NA	0.997997246
HGS4	ABCG1	chr21	-	42518850	SLC37A1	chr21	+	42836781	14	40	Y	NA	0.997406009
SARC2	SMARCB1	chr22	+	22475609	WASF2	chr1	+	27618176	4	16	Y	NA	0.996940519
EMD6	CAMK2G	chr10	-	75290594	DDX1	chr2	-	15670799	2	9	Y	NA	0.995221472
CCC15	SLC38A10	chr17	-	76869004	ZCCHC11	chr1	+	52663767	1	12	Y	NA	0.994647337
GRC5	PCP4L1	chr1	+	159495397	SDHC	chr1	-	159560028	10	7	Y	NA	0.993636463
SRR018266	C11orf67	chr11	-	77258416	SLC12A7	chr5	-	1138347	24	43	Y	NA	0.992792759
SRR018267	ALX3	chr1	+	110405708	RECK	chr9	+	36098161	6	4	Y	NA	0.990687656
HGS3	PRR12	chr19	+	54811288	FLT3LG	chr19	-	54669672	11	20	Y	NA	0.989754688
CCC13	MRPL48	chr11	-	73251865	AP000577.5-1	chr11	+	73593138	22	69	Y	NA	0.987417747
CCC15	CNGB1	chr16	+	56489319	KIFC3	chr16	-	56386412	16	14	Y	NA	0.986293749
SRR018269	SLC44A4	chr6	+	31941540	BAT3	chr6	-	31727412	6	27	Y	NA	0.985058651
SRR018259	KCTD2	chr17	+	70567295	ARHGEF12	chr11	-	119857179	1	4	Y	NA	0.98243584
SRR018260	ITM2B	chr13	-	47728314	RB1	chr13	+	47779543	2	19	Y	NA	0.981540771
HGS1	CAPNS1	chr19	+	41322899	WDR62	chr19	-	41271780	11	7	Y	NA	0.979376297
CCC12	SYTL1	chr1	-	27544375	YTHDF2	chr1	+	28943085	19	53	Y	NA	0.978860367
HGS1	LETM1	chr4	-	1797089	USP15	chr12	-	60994838	5	7	Y	NA	0.97733025
MUC1	ERBB2	chr17	+	35122227	PERLD1	chr17	+	35084458	11	25	Y	NA	0.973504449
SRR018269	ABL1	chr9	-	132719272	BCR	chr22	+	21962600	14	91	Y	NA	0.973463605
CCC15	NUMB	chr14	-	72892087	ALDH6A1	chr14	+	73611473	12	22	Y	NA	0.970674638
GRC5	FBXO25	chr8	+	375707	BET1L	chr11	+	159052	3	8	Y	NA	0.96650866
HGS4	NPAL2	chr8	+	99335491	STK3	chr8	-	99830680	3	7	Y	NA	0.966103078
EMD6	CYB5D2	chr17	+	4004903	ANKFY1	chr17	+	4059991	1	6	Y	NA	0.955829182
SRR018267	TLN1	chr9	+	35707783	C9orf127	chr9	+	35825215	1	3	Y	NA	0.911760731
MUC1	UQCRC1	chr3	+	48618293	KIAA0355	chr19	+	39483713	6	10	Y	NA	0.883898162
SRR018266	GNA12	chr7	-	2739661	SHANK2	chr11	+	70420319	9	29	Y	NA	0.829557453
SRR018266	C1orf61	chr1	+	154641017	CCT3	chr1	-	154561387	17	54	Y	NA	0.79132399
CCC12	RALY	chr20	-	32123533	ITCH	chr20	+	32420937	6	59	Y	NA	0.759032948
CCC9	RANBP17	chr5	-	170551263	TLX3	chr5	+	170670919	5	10	Y	NA	0.757675812
EMD6	EIF4G3	chr1	-	21288218	LRRC8D	chr1	-	90171214	4	7	Y	NA	0.731787606
SRR018265	WDR72	chr15	+	51785563	SCAMP2	chr15	-	72924867	2	3	Y	NA	0.592124844
NCIH660	TMPRSS2	chr21	-	41801878	ERG	chr21	+	38739414	10	19	Y	NA	0.481631174
HGS3	GTF2I	chr7	+	73803363	PGPEP1	chr19	+	18432749	3	34	Y	NA	0.201101319
SRR018266	MIXL1	chr1	-	224480541	PARP1	chr1	-	224656483	1	2	Y	NA	0.032164174
SRR018260	ANKHD1	chr5	+	139762677	C5orf32	chr5	-	139602156	2	2	Y	NA	7.88E-05
CCC8	SBF1	chr22	-	49248578	SCO2	chr22	+	49309719	9	20	N	NA	0.999994137
CCC8	PSMD3	chr17	-	35399518	CASC3	chr17	+	35572680	13	42	N	NA	0.99998916
EMD6	CLMN	chr14	+	94766223	POLR2J2	chr7	-	102093760	5	5	N	NA	0.997889937
HGS2	ALK	chr2	+	29951105	GFOD1	chr6	-	13470708	4	10	N	NA	0.992793897
CCC15	FARSA	chr19	-	12900312	RAD23A	chr19	+	12921219	3	9	N	NA	0.99183422
CCC13	ACTG1	chr17	-	77093853	ACTB	chr7	+	5535557	14	20	N	NA	0.884055246
CCC10	C5orf36	chr5	-	93930330	PCBD2	chr5	-	134287965	2	11	N	NA	0.808070366
EMD4	AKAP6	chr14	+	32023391	FAM168A	chr11	-	72899396	3	9	N	NA	0.794206938
GRC5	C3orf32	chr3	+	8692226	UBXN8	chr8	-	30721384	9	30	N	NA	0.525859271
CCC11	ESPN	chr1	-	6429280	AC044802.7	chr16	+	65471454	1	5	N	NA	0.157612142
GRC1	CTSB	chr8	+	11738731	MED13	chr17	-	57403859	10	5	N	NA	0.130866894
CCC16	ITCH	chr20	+	32559455	DYNLRB1	chr20	-	32577739	3	5	N	NA	0.107981345
HGS2	MTHFD1L	chr6	-	151356907	DACH2	chrX	+	85809227	17	5	N	NA	0.098511328
EMD5	IL16	chr15	+	79310748	KIAA1217	chr10	-	24593701	1	5	N	NA	0.061223961
CCC10	BX284650.8-1	chr1	-	142535682	PDE4DIP	chr1	-	143687090	4	13	N	NA	0.052411554
CCC11	KIAA0174	chr16	-	70518895	TTLL3	chr3	+	9835085	3	5	N	NA	0.046782213
EMD6	S100PBP	chr1	+	33077501	CAMK2G	chr10	-	75284499	2	18	N	NA	0.040467713
GRC2	PIK3C2A	chr11	-	17090016	UBE2R2	chr9	+	33907719	6	5	N	NA	0.024918469
GRC5	CPEB1	chr15	+	81010100	EEF2	chr19	-	3927056	34	11	N	NA	0.013188966
MUC2	RPS24	chr10	-	79463628	RPS11P5	chr19	-	54692375	8	6	N	NA	0.010376213
CCC11	AKAP7	chr6	+	131592196	LONP2	chr16	+	46876117	4	5	N	NA	0.009115593
CCC16	PIK3C2B	chr1	-	202660381	SMG5	chr1	+	154509862	1	6	N	NA	0.00857532
CCC13	USP53	chr4	+	120353366	CTNNA2	chr2	+	80227691	1	8	N	NA	0.003454126
CCC6	GAPDH	chr12	+	6517740	IDH3B	chr20	-	2587152	8	5	N	NA	0.002731333
MUC1	B2M	chr15	-	42791071	RGPD2	chr2	-	87905736	26	11	N	NA	0.000722907
CCC2	PCBD2	chr5	+	134290418	RPS20	chr8	+	57149588	12	6	N	NA	0.000660793
EMD8	HFM1	chr1	-	91625366	SEC14L1	chr17	+	72670125	1	5	N	NA	0.000582829
SCH1	C10orf140	chr10	-	21851201	FUS	chr16	-	31109790	1	5	N	NA	0.000545947
CCC12	RGPD2	chr2	+	87905747	PCBD2	chr5	+	134291350	27	5	N	NA	0.000509741
MUC1	C5orf36	chr5	+	93930670	PCBD2	chr5	+	134288313	10	25	N	NA	0.000487818
CCC9	B2M	chr15	-	42791055	RGPD2	chr2	-	87905759	57	5	N	NA	0.000483394
CCC11	YEATS2	chr3	+	184906465	EEF2K	chr16	+	22205049	3	5	N	NA	0.000476574
CCC11	TK2	chr16	-	65102164	ATP11B	chr3	+	184108667	4	5	N	NA	0.000320475
CCC5	RGPD2	chr2	-	87905681	PCBD2	chr5	-	134290302	24	9	N	NA	0.000265533
SARC2	MT1X	chr16	+	55273941	ZNF423	chr16	-	48198121	3	6	N	NA	0.000219335
CCC10	APBB2	chr4	+	40913219	CENPF	chr1	+	212848932	3	5	N	NA	0.000192308
EMD5	B4GALT5	chr20	-	47683383	CBARA1	chr10	+	73888472	22	9	N	NA	0.000173116
CCC11	AC034139.7-2	chr4	-	77541774	RPL36A	chrX	+	100537437	5	5	N	NA	0.000146246
EMD5	ZNF365	chr10	+	63935649	CD55	chr1	+	205571170	5	73	N	NA	0.000121689
CCC14	AL139099.3-2	chr14	-	49123084	RDH10	chr8	+	74398606	363	12	N	NA	0.0001171
CCC9	BX284650.8-1	chr1	-	142535806	PDE4DIP	chr1	-	143687079	2	6	N	NA	0.000108835
CCC11	RBBP4	chr1	+	32918541	NSUN3	chr3	+	95276924	11	6	N	NA	9.55E-05
CCC13	B2M	chr15	-	42791055	RGPD2	chr2	-	87905759	70	6	N	NA	8.75E-05
EMD2	NNT	chr5	-	43638602	SLC17A1	chr6	-	25892565	5	5	N	NA	8.16E-05
YKS1	AL355773.4	chr14	-	55302995	RPL13AP20	chr13	-	53913028	5	5	N	NA	7.73E-05
CCC12	C5orf36	chr5	-	93930226	PCBD2	chr5	-	134287852	168	5	N	NA	7.58E-05
CCC4	LPHN2	chr1	+	81834585	RPS20	chr8	-	57148169	7	14	N	NA	6.35E-05
MUC1	CRIP3	chr6	-	43385996	RPL12	chr9	-	129249989	15	6	N	NA	5.17E-05
CCC6	SMC6	chr2	-	17727887	FAM114A2	chr5	+	153351928	5	5	N	NA	4.72E-05
LGS1	FAM90A1	chr12	+	8271669	AC083906.23	chr3	-	131305282	2	5	N	NA	4.34E-05
CCC13	FAIM3	chr1	+	205147593	RPL13A	chr19	-	54682706	105	21	N	NA	4.12E-05
GRC5	KIAA1267	chr17	-	41517821	RPL31	chr2	+	100988855	7	25	N	NA	2.92E-05
GRC2	AKAP6	chr14	+	32023337	FAM168A	chr11	-	72899415	224	20	N	NA	2.79E-05
CCC11	TNS3	chr7	-	47282284	AKR1B1	chr7	+	133783286	7	5	N	NA	2.74E-05
EMD8	MUC5B	chr11	+	1228709	FAF1	chr1	-	50814723	5	8	N	NA	2.48E-05
EMD6	EPHB1	chr3	+	136156873	TPT1	chr13	-	44809465	3	9	N	NA	2.05E-05
CCC13	SLC30A9	chr4	-	41751633	FAM151B	chr5	-	79819354	4	7	N	NA	2.00E-05
MUC1	AMPD3	chr11	-	10487530	RPL19	chr17	-	34614436	40	7	N	NA	1.74E-05
YKS1	SYPL1	chr7	-	105529078	BSG	chr19	+	534254	2	10	N	NA	1.35E-05
SBOT	SPAG16	chr2	+	214854014	RPL5	chr1	+	93078740	25	6	N	NA	1.32E-05
CCC11	AKAP6	chr14	+	32023288	FAM168A	chr11	-	72899414	92	60	N	NA	1.31E-05
